Date,StockCode,StockName,EntrySignal,SignalGrade,SignalStrength,SignalReason,EntryPrice,StopLoss,Target1,Target2,RiskReward,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-02-18,AMMN,Amman Mineral Internasional Tbk.,BUY - AKUMULASI,B,62,NonReg 46.3% | Avg Rp14jt | Asing: NET BUY,7525.0,7299.0,7751.0,7976.0,2.0,WIN,7675.0,1.9933554817275747,CLOSE,1.1613786324638649,Trending Up
2026-02-18,BKSL,Sentul City Tbk.,BUY - AKUMULASI,C,42,NonReg 23.5% | Avg Rp6jt | Asing: NET BUY,150.0,146.0,154.0,159.0,2.0,LOSS,146.0,-2.666666666666667,STOP_LOSS,0.7199665631981508,Trending Up
2026-02-18,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,BUY - AKUMULASI,B,45,NonReg 4207.2% | Avg Rp8jt,7200.0,6984.0,7416.0,7632.0,2.0,WIN,7416.0,3.0,TARGET1,0.6811273199419537,Trending Up
2026-02-18,EMAS,Merdeka Gold Resources Tbk.,BUY - AKUMULASI,B,62,NonReg 9.4% | Avg Rp14jt | Asing: NET BUY,7700.0,7469.0,7931.0,8162.0,2.0,WIN,8162.0,6.0,TARGET2,1.0501843918732408,Trending Up
2026-02-18,ISAT,Indosat Tbk.,BUY - AKUMULASI,B,45,NonReg 243.1% | Avg Rp8jt | Asing: NET BUY,2240.0,2173.0,2307.0,2374.0,2.0,LOSS,2220.0,-0.8928571428571428,CLOSE,0.6337724352723555,Trending Up
2026-02-18,CBDK,Bangun Kosambi Sukses Tbk.,BUY - AKUMULASI,B,47,NonReg 151.0% | Avg Rp10jt,6350.0,6160.0,6540.0,6731.0,2.0,LOSS,6160.0,-2.9921259842519685,STOP_LOSS,0.40271767263092434,Trending Up
2026-02-18,GGRM,Gudang Garam Tbk.,BUY - BREAKOUT,A,71,Naik +3.8% | Vol 2.8x | Fase: Trending Down,16875.0,16200.0,17550.0,18056.0,1.75,WIN,16925.0,0.2962962962962963,CLOSE,2.801470064782516,Trending Down
2026-02-18,SINI,Singaraja Putra Tbk.,BUY - AKUMULASI,B,60,NonReg 11.6% | Avg Rp32jt | Asing: NET BUY,15900.0,15423.0,16377.0,16854.0,2.0,LOSS,15423.0,-3.0,STOP_LOSS,0.5088520545428298,Trending Up
2026-02-18,WIIM,Wismilak Inti Makmur Tbk.,BUY - REVERSAL,C,37,Dip -1.4% | Pos 61/100 | Vol 2.1x,2040.0,1938.0,2101.0,2162.0,1.2,WIN,2100.0,2.941176470588235,CLOSE,2.0715274490893214,Trending Up
2026-02-18,ASII,Astra International Tbk.,BUY - AKUMULASI,B,60,NonReg 25.6% | Avg Rp21jt | Asing: NET BUY,6700.0,6499.0,6901.0,7102.0,2.0,LOSS,6600.0,-1.4925373134328357,CLOSE,0.6007371839123186,Trending Down
2026-02-18,JSMR,Jasa Marga (Persero) Tbk.,BUY - MOMENTUM,C,35,Naik +1.3% | Vol 1.4x | Fase: Sideways,3800.0,3743.0,3914.0,3990.0,3.35,LOSS,3780.0,-0.5263157894736842,CLOSE,1.3732446527862332,Sideways
2026-02-19,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,BUY - AKUMULASI,B,54,NonReg 13.0% | Avg Rp16jt | Asing: NET BUY,3770.0,3657.0,3883.0,3996.0,2.0,WIN,3840.0,1.8567639257294428,CLOSE,0.8391500908577109,Trending Down
2026-02-19,ISAT,Indosat Tbk.,BUY - AKUMULASI,B,46,NonReg 27.5% | Avg Rp9jt | Asing: NET BUY,2220.0,2153.0,2287.0,2353.0,2.0,WIN,2260.0,1.8018018018018018,CLOSE,0.5868658922238611,Trending Up
2026-02-19,BRMS,Bumi Resources Minerals Tbk.,BUY - AKUMULASI,B,62,NonReg 24.9% | Avg Rp13jt | Asing: NET BUY,1055.0,1023.0,1087.0,1118.0,2.0,WIN,1060.0,0.47393364928909953,CLOSE,1.1311015505269004,Trending Up
2026-02-19,CUAN,Petrindo Jaya Kreasi Tbk.,BUY - AKUMULASI,C,43,NonReg 9.9% | Avg Rp7jt | Asing: NET BUY,1755.0,1702.0,1808.0,1860.0,2.0,LOSS,1702.0,-3.01994301994302,STOP_LOSS,0.6015858132567673,Trending Up
2026-02-19,PBSA,Paramita Bangun Sarana Tbk.,BUY - REVERSAL,C,30,Dip -2.1% | Pos 49/100,1400.0,1331.0,1442.0,1484.0,1.23,LOSS,1385.0,-1.0714285714285714,CLOSE,0.9603261315495135,Sideways
2026-02-19,MORA,Mora Telematika Indonesia Tbk.,BUY - AKUMULASI,B,51,NonReg 35.1% | Avg Rp5jt,7500.0,7275.0,7725.0,7950.0,2.0,WIN,7725.0,3.0,TARGET1,0.8029840896836447,Trending Up
2026-02-19,BUKA,Bukalapak.com Tbk.,BUY - AKUMULASI,B,65,NonReg 1823.1% | Avg Rp8jt | Asing: NET BUY,150.0,146.0,154.0,159.0,2.0,LOSS,148.0,-1.3333333333333335,CLOSE,1.4854598856122543,Trending Up
2026-02-19,ASII,Astra International Tbk.,BUY - AKUMULASI,B,61,NonReg 3.2% | Avg Rp20jt | Asing: NET BUY,6600.0,6402.0,6798.0,6996.0,2.0,LOSS,6550.0,-0.7575757575757576,CLOSE,1.285223670306446,Sideways
2026-02-20,MDKA,Merdeka Copper Gold Tbk.,BUY - AKUMULASI,B,64,NonReg 58.6% | Avg Rp16jt | Asing: NET BUY,3590.0,3482.0,3698.0,3805.0,2.0,WIN,3698.0,3.0083565459610027,TARGET1,0.9682145929006993,Trending Up
